tau_c,he3_he4_contrast,nv_contrast_10mK,thermal_recovery_time,mode_isolation_leak
1.6203223067e-05,5.1807159709e-01,1.1886784477e-01,3.0608768826e-07,5.1128873997e-04
8.4260712554e-05,5.1123112355e-01,1.8575181065e-01,2.5159682040e-07,2.6974486217e-04
8.1063733069e-05,5.0986739418e-01,2.5248724925e-01,2.5580799467e-07,2.7631354268e-04
1.5827933944e-05,5.2766888463e-01,1.2182703560e-01,3.1799146308e-07,5.1528141309e-04
2.2456376294e-04,5.0899108741e-01,2.1479084461e-01,2.5337433053e-07,2.6822784674e-04
1.2396981718e-04,5.1279880012e-01,1.9832321923e-01,2.5269710411e-07,2.7950503444e-04
1.9433062931e-04,5.0994880985e-01,2.4241780802e-01,2.5071269838e-07,2.8024846347e-04
1.5945310060e-05,5.2097035395e-01,1.1730159593e-01,2.9720238265e-07,5.1425798712e-04
1.6899702676e-05,5.2277103577e-01,1.2084958477e-01,2.7849946419e-07,5.1005190539e-04
1.6417819796e-04,5.1327368775e-01,2.0785021619e-01,2.5834379972e-07,2.6290827853e-04
